churchattend,age,polknowl,polinterest,inc.imp,education,strongdem,strongcon,strongrep,stronglib,married,female,white
0,61,2.467,1.515,5.674,3.875,0,0,0,0,1,1,1
0.5,61,2.467,1.515,5.674,3.875,0,0,0,0,1,1,1
1,61,2.467,1.515,5.674,3.875,0,0,0,0,1,1,1
1.5,61,2.467,1.515,5.674,3.875,0,0,0,0,1,1,1
2,61,2.467,1.515,5.674,3.875,0,0,0,0,1,1,1
2.5,61,2.467,1.515,5.674,3.875,0,0,0,0,1,1,1
3,61,2.467,1.515,5.674,3.875,0,0,0,0,1,1,1
3.5,61,2.467,1.515,5.674,3.875,0,0,0,0,1,1,1
4,61,2.467,1.515,5.674,3.875,0,0,0,0,1,1,1
4.5,61,2.467,1.515,5.674,3.875,0,0,0,0,1,1,1
5,61,2.467,1.515,5.674,3.875,0,0,0,0,1,1,1
