churchattend,age,polknowl,polinterest,inc.imp,education,strongdem,strongcon,strongrep,stronglib,married,female,white
0,60.59,2.357,1.494,5.361,3.707,0.2445,0.1375,0.146,0.09847,0.6214,0.5246,0.9372
0.5,60.59,2.357,1.494,5.361,3.707,0.2445,0.1375,0.146,0.09847,0.6214,0.5246,0.9372
1,60.59,2.357,1.494,5.361,3.707,0.2445,0.1375,0.146,0.09847,0.6214,0.5246,0.9372
1.5,60.59,2.357,1.494,5.361,3.707,0.2445,0.1375,0.146,0.09847,0.6214,0.5246,0.9372
2,60.59,2.357,1.494,5.361,3.707,0.2445,0.1375,0.146,0.09847,0.6214,0.5246,0.9372
2.5,60.59,2.357,1.494,5.361,3.707,0.2445,0.1375,0.146,0.09847,0.6214,0.5246,0.9372
3,60.59,2.357,1.494,5.361,3.707,0.2445,0.1375,0.146,0.09847,0.6214,0.5246,0.9372
3.5,60.59,2.357,1.494,5.361,3.707,0.2445,0.1375,0.146,0.09847,0.6214,0.5246,0.9372
4,60.59,2.357,1.494,5.361,3.707,0.2445,0.1375,0.146,0.09847,0.6214,0.5246,0.9372
4.5,60.59,2.357,1.494,5.361,3.707,0.2445,0.1375,0.146,0.09847,0.6214,0.5246,0.9372
5,60.59,2.357,1.494,5.361,3.707,0.2445,0.1375,0.146,0.09847,0.6214,0.5246,0.9372
