churchattend,age,polknowl,polinterest,inc.imp,education,strongdem,strongcon,strongrep,stronglib,married,female,white
0,59.93,2.433,1.549,5.554,3.786,0.194,0.209,0.2299,0.0955,0.6448,0.5881,0.9642
0.5,59.93,2.433,1.549,5.554,3.786,0.194,0.209,0.2299,0.0955,0.6448,0.5881,0.9642
1,59.93,2.433,1.549,5.554,3.786,0.194,0.209,0.2299,0.0955,0.6448,0.5881,0.9642
1.5,59.93,2.433,1.549,5.554,3.786,0.194,0.209,0.2299,0.0955,0.6448,0.5881,0.9642
2,59.93,2.433,1.549,5.554,3.786,0.194,0.209,0.2299,0.0955,0.6448,0.5881,0.9642
2.5,59.93,2.433,1.549,5.554,3.786,0.194,0.209,0.2299,0.0955,0.6448,0.5881,0.9642
3,59.93,2.433,1.549,5.554,3.786,0.194,0.209,0.2299,0.0955,0.6448,0.5881,0.9642
3.5,59.93,2.433,1.549,5.554,3.786,0.194,0.209,0.2299,0.0955,0.6448,0.5881,0.9642
4,59.93,2.433,1.549,5.554,3.786,0.194,0.209,0.2299,0.0955,0.6448,0.5881,0.9642
4.5,59.93,2.433,1.549,5.554,3.786,0.194,0.209,0.2299,0.0955,0.6448,0.5881,0.9642
5,59.93,2.433,1.549,5.554,3.786,0.194,0.209,0.2299,0.0955,0.6448,0.5881,0.9642
